"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","1994-05",,"1.09","0.0",,,,,
"USC00048580","STONYFORD, CA US","39.3752","-122.5461","356.6","1994-05",,"0.76","0.0",,,,,
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","36.3825","-120.8558","1137.8","1994-05",,,,"56.5","65.7","47.4",,
"USC00041948","COLUSA 2 SSW, CA US","39.1875","-122.0269","15.2","1994-05",,"1.65","0.0","66.9","79.2","54.6",,
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","36.8839","-119.4658","280.4","1994-05",,,,"69.6","84.5","54.8",,
"USC00048207","SIERRA CITY, CA US","39.56778","-120.62278","1292.4","1994-05",,"2.42","0.0","55.3","70.4","40.1",,
"USC00046027","MUIR WOODS, CA US","37.8977","-122.5688","67.1","1994-05",,"1.83","0.0",,,,,
"USR0000CBUT","BUTTE MEADOWS CALIFORNIA, CA US","40.0789","-121.5039","1511.8","1994-05",,,,"51.5","64.7","38.3",,
"USC00048200","SHOSHONE, CA US","35.97167","-116.27083","471.2","1994-05",,"0.00","0.0",,,,,
"USC00047473","RIVERSIDE CITRUS EXPERIMENTAL, CA US","33.96694","-117.36139","300.5","1994-05",,"0.52","0.0","64.0","75.3","52.7",,
"USC00047111","POWAY VALLEY, CA US","33.01953","-117.03096","197.5","1994-05",,"0.33","0.0",,,,,
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","1994-05",,,,"57.7","66.7","48.7",,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","1994-05",,"1.12","0.0","63.1","80.4","45.9",,
"USC00046144","NEWARK, CA US","37.5147","-122.0325","3.0","1994-05",,"1.69","0.0","61.0","68.6","53.4",,
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","40.4808","-120.1139","1339.6","1994-05",,,,"54.9","70.7","39.0",,
"USS0020L02S","RUBICON NUMBER 2, CA US","39.0","-120.13","2343.6","1994-05",,"1.30",,"45.2","55.2","35.1",,
"USC00046390","OCOTILLO 2, CA US","32.74611","-116.00056","125.0","1994-05",,"0.23","0.0",,,,,
"USR0000CASC","ASH CREEK CALIFORNIA, CA US","41.2769","-121.9794","975.4","1994-05",,,,"53.8","70.4","37.3",,
"USS0020K05S","INDEPENDENCE LAKE, CA US","39.43","-120.31","2545.7","1994-05",,"1.49",,,,,,
"USR0000CASH","ASH VALLEY CALIFORNIA, CA US","41.0519","-120.6861","1554.5","1994-05",,,,"50.9","64.4","37.4",,
"USC00047228","RAMONA FIRE DEPARTMENT, CA US","33.0113","-116.908","448.1","1994-05",,"0.17","0.0","59.7","71.1","48.2",,
"USC00048317","SNOW CREEK UPPER, CA US","33.8725","-116.67972","591.3","1994-05",,"0.00","0.0",,,,,
"USC00047109","POTTER VALLEY POWERHOUSE, CA US","39.3619","-123.1286","310.3","1994-05",,"2.10","0.0","59.8","73.5","46.2",,
"USC00046252","NORTH FORK RANGER STATION, CA US","37.2329","-119.5097","806.2","1994-05",,"1.58","0.0",,,,,
"USC00047581","ROUND MOUNTAIN, CA US","40.7955","-121.935","640.1","1994-05",,"4.73","0.0",,,,,
"USC00046377","OCEANSIDE MARINA, CA US","33.2097","-117.395","3.0","1994-05",,"0.00","0.0","59.0","62.7","55.2",,
"USC00046498","ORICK PRAIRIE, CA US","41.3619","-124.0191","48.8","1994-05",,"2.90","0.0","53.8","62.5","45.0",,
"USC00046136","NEVADA CITY, CA US","39.2466","-121.0008","847.6","1994-05",,"1.48","0.0","57.6","68.5","46.8",,
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","36.0333","-120.0569","246.9","1994-05",,,,"67.9","78.7","57.1",,
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","1994-05",,"0.41","0.0","64.9","76.7","53.1",,
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","1994-05",,"1.50",,"44.7","58.7","30.7",,
"USR0000CMIL","MILL CREEK ANF CALIFORNIA, CA US","34.3903","-118.0825","1530.4","1994-05",,,,"54.6","64.1","45.2",,
"USC00041806","CLEARLAKE 4 SE, CA US","38.9238","-122.5672","411.2","1994-05",,"1.05","0.0",,"74.5",,,
"USC00047339","REDWOOD CITY, CA US","37.4767","-122.2386","9.4","1994-05",,"1.52","0.0","60.7","71.5","49.9",,
"USC00046006","MOUNT WILSON CBS, CA US","34.2308","-118.0711","1740.4","1994-05",,"0.90","0.0",,,,,
"USC00045032","LODI, CA US","38.1061","-121.2877","12.2","1994-05",,"0.96","0.0","65.8","79.5","52.2",,"1143.3"
"USR0000CQUI","QUINCY RD CALIFORNIA, CA US","39.9733","-120.9419","1066.8","1994-05",,,,"58.2","75.2","41.2",,
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","1994-05",,"1.50",,,,,,
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","1994-05",,,,"56.6","68.4","44.8",,
"USC00046370","OCCIDENTAL, CA US","38.3858","-122.9661","263.7","1994-05",,"1.19","0.0",,,,,
"USC00040943","BODIE CALIFORNIA STATE HISTORIC PARK, CA US","38.2119","-119.0142","2551.2","1994-05",,"3.22","30.5","44.9","61.3","28.5",,
"USC00045280","MAMMOTH LAKES RANGER STATION, CA US","37.6478","-118.9617","2378.7","1994-05",,"1.84","8.0","47.6","62.3","33.0",,
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","1994-05",,"1.69",,"47.3","60.5","34.1",,
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","1994-05",,"1.10","0.0","61.0","75.0","47.0",,
"USR0000CJFL","JUNIPER FLAT CALIFORNIA, CA US","33.7781","-117.085","646.2","1994-05",,,,"60.8","73.1","48.5",,
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","1994-05",,"2.06","0.0",,,,,
"USC00045026","LODGEPOLE, CA US","36.6044","-118.7325","2052.8","1994-05",,"1.38","6.0","44.8","57.0","32.5",,
"USC00045147","LOS PRIETOS RANGER STATION, CA US","34.5444","-119.7913","312.1","1994-05",,"0.45","0.0",,,,,
"USC00046599","PACIFICA 4 SSE, CA US","37.59167","-122.47167","144.8","1994-05",,"1.29","0.0","56.1","63.5","48.8",,
"USC00049866","YREKA, CA US","41.70237","-122.64169","826.6","1994-05",,"1.80","0.0","58.4","74.7","42.0",,
"USC00047689","SALT SPRINGS PH, CA US","38.50056","-120.21889","1127.8","1994-05",,"2.55","0.0",,,,,
"USC00043083","FIVE POINTS 5 SSW, CA US","36.3642","-120.1561","86.9","1994-05",,"2.13","0.0",,,,,
"USR0000CPRD","PANOCHE ROAD CALIFORNIA, CA US","36.7269","-120.7658","619.4","1994-05",,,,"67.2","79.4","55.0",,
